,set,caloNum,energyLim,fitLim,c,m,c_err,m_err,redchi
82,1C,11,1700-1900,30-200,0.7285620826415302,-0.0004093643054590051,0.013798981102301718,0.00015102480164998994,1.0072425483210956
83,1C,12,1700-1900,30-200,-0.061341182409553774,-0.0005972598101475536,0.014329864033795622,0.00015678402687356802,1.0962326592825373
84,1C,13,1700-1900,30-200,0.6520108909342808,-0.00027552244062766434,0.01249410268990854,0.00013669658879295879,1.021931255937628
85,1C,14,1700-1900,30-200,0.872324817124228,-0.0003731700879164168,0.013261356583491481,0.00014506730345289503,0.8981118663487718
86,1C,15,1700-1900,30-200,1.0570091645630892,-0.0007447726833556598,0.014264738923054618,0.00015611985284555007,1.0594782612494003
87,1C,16,1700-1900,30-200,0.7483891618165777,-0.000869922766260913,0.014781203218926516,0.00016170861985156148,1.0825162033550075
88,1C,17,1700-1900,30-200,1.4657014732208387,-0.0007028553457658132,0.013950817344648068,0.0001526364293078236,1.0334191212793522
89,1C,18,1700-1900,30-200,1.536861854003322,-0.0008073435640946398,0.013807119991884099,0.0001510576832150977,1.0161471050851785
90,1C,19,1700-1900,30-200,0.16661830184286408,-0.00018370233250959792,0.011835252986103642,0.00012948278488370191,0.907416402153004
91,1C,20,1700-1900,30-200,1.1078271404608053,-0.0008284406855734617,0.014170476808175687,0.00015503020546645023,0.9991438909352045
92,1C,21,1700-1900,30-200,0.8166183367826126,-0.0003055707385457345,0.013693939427146556,0.00014983001340977727,0.941308559348385
93,1C,22,1700-1900,30-200,1.3893778623397393,-0.0009397634015417139,0.013644572539147528,0.00014926292066714367,0.9072697803799944
94,1C,23,1700-1900,30-200,0.5776454317355515,-0.0005500258990365998,0.013506595176033148,0.0001477939692321397,0.9844762934070049
95,1C,24,1700-1900,30-200,0.9077524177219095,-0.00019285801281208003,0.013860279985057415,0.00015166196636471938,0.9667679893817753
96,1C,1,1900-2100,30-200,1.010790183271145,-0.0006022850866733422,0.013952205318066256,0.0001526306754693594,0.997017398189475
97,1C,2,1900-2100,30-200,-0.3581372206118324,6.190211716459041e-05,0.019175604683969054,0.0002097961167237519,1.140801733113056
98,1C,3,1900-2100,30-200,1.4349513157362308,-0.0001636541264325283,0.01458643585609506,0.00015963018903586055,0.9345564773526892
99,1C,4,1900-2100,30-200,0.8737077186170232,-0.0001769923594143549,0.014080445756799315,0.0001540535716324152,0.8528594631505217
100,1C,5,1900-2100,30-200,3.095459280524696,-0.00034376304631143924,0.015785935154543497,0.00017270675798358677,0.9700301749908433
101,1C,6,1900-2100,30-200,2.129902372799111,-0.000378345723013947,0.014681741091226799,0.00016060634626831295,0.9413338341494284
102,1C,7,1900-2100,30-200,2.7322121226808394,-0.0004061261004388612,0.01481223179147874,0.0001619945754274822,0.96536199662414
103,1C,8,1900-2100,30-200,1.2049719100480667,-0.00047148667339434925,0.015317671318582022,0.00016759805916592284,1.0246246656052558
104,1C,9,1900-2100,30-200,0.4512638586322718,-0.0005552643499367934,0.01741728169093436,0.00019055612308028333,1.1883166138868428
105,1C,10,1900-2100,30-200,0.7485882254024807,-0.0005751928925369681,0.01515301551013419,0.00016584905134977247,1.0307989992049216
106,1C,11,1900-2100,30-200,0.5664384315471578,-0.000675676497597357,0.013549137155484337,0.00014822997745114243,0.8976132738130175
107,1C,12,1900-2100,30-200,-0.5424954186451825,-0.0003921220314437558,0.013783308443115014,0.0001508402779914966,0.9432919659855138
108,1C,13,1900-2100,30-200,0.7724366175057424,-0.0002744749709710395,0.012169359406949111,0.0001331301744263786,0.9037410307529985
109,1C,14,1900-2100,30-200,1.123015184566634,-0.0007736506803270044,0.014582776531978403,0.00015954157774183232,0.9835891780961042
110,1C,15,1900-2100,30-200,1.322657800293367,-0.0005674593264895759,0.015144524909976588,0.0001656841782359663,1.0790913162687694
111,1C,16,1900-2100,30-200,0.5283089891636262,-0.001261408656857734,0.0162097212448319,0.0001773374809722769,1.1322968478633337
112,1C,17,1900-2100,30-200,1.2938074135867088,-0.0007679760387466003,0.013168031369632481,0.00014409981676237723,0.8185664569117403
113,1C,18,1900-2100,30-200,1.1067261918844173,-0.0005539178517864685,0.014076230696402256,0.00015398428992951542,0.9879780873688404
114,1C,19,1900-2100,30-200,-0.08183902751523597,-0.00028256123561674906,0.012979878904268776,0.00014198639661711687,1.0260422711826813
115,1C,20,1900-2100,30-200,1.0620182664354112,-0.0006456011470893544,0.015485174827977526,0.0001693876973088996,1.0765367747554024
116,1C,21,1900-2100,30-200,1.4711105727193243,-0.0007488508397542994,0.015264075213805057,0.00016696838080868464,1.0045409972935098
117,1C,22,1900-2100,30-200,1.530347711413726,-0.0005869589339435114,0.014966355271959221,0.00016374475595132268,0.9287173835657496
118,1C,23,1900-2100,30-200,0.2858275391620675,-0.0004947632364054771,0.013754871778764057,0.00015049883056416946,0.9284570378029787
119,1C,24,1900-2100,30-200,1.2942063985610845,-0.00010212700802530177,0.015562729830797426,0.00017023536994840662,1.1095049053940667
120,1C,1,2100-2300,30-200,1.1311964872981135,-0.00028162121986899353,0.01469905599199761,0.0001607555985025556,0.9786941021557467
121,1C,2,2100-2300,30-200,-0.533512441039053,-0.00012045821356704386,0.019859155462985695,0.00021731217377261348,0.9248255162763581
122,1C,3,2100-2300,30-200,1.8564619242909919,-0.00033276449674155223,0.015444479436162598,0.00016898339401932017,0.8365013494036184
123,1C,4,2100-2300,30-200,1.0779502150133342,-0.0002466513449512119,0.017959336368359072,0.00019645206054997176,1.111846856051062
124,1C,5,2100-2300,30-200,3.8073692909602554,-0.0004960676391693536,0.01735493801979203,0.0001899081314391684,0.9159010033866699
125,1C,6,2100-2300,30-200,2.776771673639541,-0.0004958083112327209,0.01652807267533103,0.00018066633130412444,1.0130779031606565
